Translator|Tradutor

模组列表中文补全计划|Complemento chinês da lista de mods
在此处输入模组ID|Digite o ID do mod aqui
输入替换文本|Inserir texto de substituição
为当前输入的ID打开临时编辑文件|Abrir arquivo temporário para o ID atual
确认替换|Confirmar substituição
读取临时文件内容并应用到该模组（需先保存文件）|Ler o arquivo temporário e aplicá-lo a este mod (salve o arquivo primeiro)
批量翻译|Tradução em lote
导出所有模组的原始信息和当前翻译到一个文本文件|Exportar informações originais e traduções atuais de todos os mods para um arquivo de texto
应用全部|Aplicar tudo
从导出的文件中读取所有修改并批量应用（仅更新有变化的条目）|Ler todas as alterações do arquivo exportado e aplicá-las em lote (apenas entradas alteradas são atualizadas)
编辑导出的文件后点击“应用全部”|Edite o arquivo exportado e clique em «Aplicar tudo»
启用文件格式提示|Ativar dicas de formato de arquivo
未找到为此ID的已安装模组！|Nenhum mod instalado encontrado para este ID!
如果你确定要为此id添加，请再次点击。|Se você tem certeza de que deseja adicioná-lo, clique novamente.
尝试打开文件中|Abrindo arquivo...
文件内容无效！是否忘记保存temp文件？|Conteúdo do arquivo inválido! Você esqueceu de salvar o arquivo temporário?
临时文件属于模组 {0}，不能应用到 {1}。|O arquivo temporário pertence ao mod {0}; não pode ser aplicado a {1}.
添加成功！|Adicionado com sucesso!
已导出全部模组，请编辑后点击“应用全部翻译”。|Todos os mods foram exportados. Edite o arquivo e clique em «Aplicar todas as traduções».
导出失败，请查看日志。|Falha na exportação. Verifique o log.
未找到导出文件，请先点击“导出全部翻译”。|Arquivo de exportação não encontrado. Clique primeiro em «Tradução em lote».
所有翻译均已是最新，跳过 {0} 个模组。|Todas as traduções estão atualizadas; {0} mod(s) ignorados.
没有找到任何有效的翻译条目。|Nenhuma entrada de tradução válida encontrada.
应用完成：更新 {0} 个模组，失败 {1} 个，跳过 {2} 个（无变更）。|Aplicação concluída: {0} atualizados, {1} com falha, {2} ignorados (sem alterações).
导入失败，请查看日志。|Falha na importação. Verifique o log.
编辑该模组的名称和描述（留空删除翻译）|Edite o nome e a descrição deste mod (deixe em branco para excluir a tradução)
此文件中写入你想替换的文本，第一行为名称，其他行将作为简介；某一行留空表示删除该行的翻译并回退为原文，完成后请保存关闭此文件，点击确认替换。|Escreva neste arquivo o texto que deseja substituir. A primeira linha é o nome; as demais linhas serão a descrição. Uma linha em branco exclui essa tradução e volta ao original. Salve e feche o arquivo e clique em «Confirmar substituição».
以 '#' 开头的行是注释，会被忽略|Linhas que começam com «#» são comentários e serão ignoradas
你可以通过关闭此模组设置中的文件使用提示选项来使下次此文件中不会出现这三行话。|Você pode desativar a opção de dicas de formato nas configurações deste mod para que essas três linhas não apareçam na próxima vez.
警告：已有为此模组设置的名称存在！确认替换将会覆盖上次修改。|Aviso: já existe um nome para este mod! Confirmar substituirá a última modificação.
警告：已有为此模组设置的简介存在！确认替换将会覆盖上次修改。|Aviso: já existe uma descrição para este mod! Confirmar substituirá a última modificação.

