Translator|翻译器
Ender_Pearl.LH-name|[物品] 末影珍珠
Ender_Pearl.LH-description|在雨世界中加入了《我的世界》的末影珍珠。<LINE>在故事模式中，末影珍珠有几率自然生成。<LINE><LINE>感谢 绿叶_Natural_leaf 提供的代码协助。<LINE><LINE>代码位于 https://github.com/SYFL-code/EnderPearl<LINE>欢迎随意使用。
echoify.abyssal-name|[战役] 深渊
echoify.abyssal-description|迷失在一个失落文明的深处，你能找到出路吗？<LINE>目前缺少部分预期功能。
iihope.hitstop-name|[无障碍] 打击停顿
iihope.hitstop-description|为武器攻击和饕餮的猛击添加简单的打击停顿效果。
tpz.kawkawscug-name|[体验优化] 按一下喵
tpz.kawkawscug-description|这个5分钟的模组将赋予你的蛞蝓猫有史以来最伟大生物的声音。明智地使用这份力量（或者不用）。
chililisoup.nameyourfriends-name|[外观] 给朋友起名
chililisoup.nameyourfriends-description|给驯服的生物起名字，名字会显示在它们头顶！
Dreamscape-name|[区域] 梦境扩展
Dreamscape-description|这个扩展包包含2个小型区域，用于测试所有新的观望者内容。<LINE>注意这些区域制作时并未投入太多精力！<LINE>此扩展包为观望者独占！<LINE>第一个区域的入口在 WTDB。
jam.aridbarrens-name|[区域] 干旱荒原
jam.aridbarrens-description|一片连接农场阵列和海岸线的荒凉沙漠，因一座巨大水坝阻挡了海水而干涸。由雨世界社区制作。<LINE>推荐但不必须的模组：倾盆大雨DLC、焦灼地区代码内容、喷水者、胖萤火虫、红色恐怖蜈蚣和弹跳球。
underpass_will-name|[区域] 地下通道
underpass_will-description|一个拥有长距离运输管道的庞大设施。为了让其他区域模组能够存在于世界的偏远角落，而无需强行接入基础游戏区域本身而创建。地下通道的确切位置及其仍连接的一切都未知……
themast-name|[区域] 桅杆
themast-description|位于世界西部区域的一个大型传输塔形式的新区域。
vali_overgrownurban-name|[区域] 过度生长的都市
vali_overgrownurban-description|探索被自然重新占领的古老过度生长的城市。
howling_rift-name|[区域] 嚎叫裂谷
howling_rift-description|连接记忆墓穴和地下的一个崩塌的采矿场。
metastasis-name|[区域,生物] 转移
metastasis-description|探索一个拥有新房间、新生物和音乐的新区域！主题围绕肉与血肉（密集恐惧症）。对此感到不适者请留意！请先照顾好自己再享受游戏！
deszcworlde-name|[区域] 外围外围
deszcworlde-description|我广阔想象的成果就在这里：准备好迎接外围外围2吧，因为它就在那里，而且规模几乎是基础游戏外围的两倍！<LINE><LINE>!!! 除观望者和Inv外的所有蛞蝓猫均可进入 !!!<LINE><LINE>一个区域 - 外围外围（包含123个房间、204个屏幕等等，区域缩写：VQ）<LINE>还有一个通往另一个模组区域“苔藓裂谷”的业力门，但你需要下载另一个模组才能进入 ^^<LINE>- 新区域的入口可以在外围房间 SU_A38 和农场阵列房间 LF_D01 找到，另外地下丛林也有一个？<LINE><LINE>特别感谢：<LINE> - derzox 提供了两颗数据珍珠中的一些背景故事<LINE> - Lolight2 制作了关于我模组的视频<LINE> - Three Leaf Clover 提供了一首配乐
kizorke.deszcworlde2-name|[区域,生物] 苔藓裂谷
kizorke.deszcworlde2-description|进入一片被野生植物缠绕的废墟之地，深入探索以发现分隔内部机械与外部土地屏障。<LINE><LINE>这个区域几乎已完成（约80%），所以请期待未完成的房间和其他不寻常的东西。<LINE>总之，玩得开心！
overgrown_sanctuary-name|[区域] 过度生长的圣所
overgrown_sanctuary-description|此模组为雨世界添加了一个名为“过度生长的圣所”的新区域。
xuanzebufeng.randomcodestuff-name|[依赖项] 随机代码内容（RCS）
xuanzebufeng.randomcodestuff-description|将我编写的代码整合成一个模组。
ForgottenofAnotherWorld-name|[区域] 异界遗忘者-寂静圣所
ForgottenofAnotherWorld-description|在仰望之月和五卵石的领域之外，被遗忘的人造结构已长久矗立在那里，在经受无情的细雨和多年的风蚀之后，它终将崩塌。<LINE>此区域连接工业区和天空群岛。只能从工业区进入，并作为返回天空群岛的路径。新增了一道业力门连接工业区和天空群岛。<LINE><LINE>请注意：<LINE>由于我的英语能力有限，此模组中的所有文本均经过AI翻译，可能会导致误解或不准确。（不过，标题“异界遗忘者”基本就是我想表达的意思，不会有误导。）
uzugu_wallpapermod-name|[外观] 雨世界壁纸模式
uzugu_wallpapermod-description|将雨世界变成一个动态壁纸，在随机地点之间平滑切换。通过混音菜单选择不同的蛞蝓猫战役和区域！
uql.scribe-name|[工具] Scribe
uql.scribe-description|[h1]Scribe：为你的模组提供统一的持久存档数据！[/h1]<LINE>Scribe是一个工具模组，为雨世界模组提供共享的、可扩展的存档系统。<LINE>与其让每个模组创建自己的存档格式并单独处理存储，Scribe允许模组注册自己的数据、按战役保存数据，并以一致的方式访问其他模组存储的数据。<LINE>[hr][/hr]<LINE>[h2]功能[/h2]<LINE>[list]<LINE>[*]可靠的持久存档数据<LINE>[*]基于GUID的注册以防止数据冲突<LINE>[*]用于加载和保存数据的简单API<LINE>[*]支持观察和请求其他模组的存档数据<LINE>[*]灵活的结构化数据格式<LINE>[*]自动序列化和解析<LINE>[/list]<LINE><LINE>[hr][/hr]<LINE>[h2]供模组开发者使用[/h2]<LINE>Scribe提供了几种方式让模组与持久数据交互：<LINE><LINE>[b]IRegistry[/b]<LINE>注册你自己模组的存档数据。你的数据会在战役开始时加载，在游戏保存时保存。<LINE><LINE>[b]IObserver[/b]<LINE>观察其他模组的存档数据而不拥有它。<LINE><LINE>[b]RequestLoad()[/b]<LINE>在需要时请求其他模组的存档数据，例如从菜单或其他非战役上下文中。<LINE><LINE>[hr][/hr]<LINE>[h2]UQLTag数据格式[/h2]<LINE>Scribe使用UQLTag，一种紧凑的树状数据格式，专为结构化存档数据设计。<LINE>支持：<LINE>[list]<LINE>[*]标签<LINE>[*]记录<LINE>[*]组<LINE>[*]命名组<LINE>[*]嵌套结构<LINE>[/list]<LINE><LINE>Scribe将数据存储在雨世界存档字符串内的专用数据块中：<LINE>[code]<LINE>[scribesaves:<uql.scribe:0><uql.terminus:J<JX<help:JX_FALL01:RM>>>]<LINE>[/code]<LINE>每个已注册的模组在数据块内通过其GUID标识获得自己的条目。模组可以使用UQLTag格式存储任意结构化数据。<LINE><LINE>[hr][/hr]<LINE>[h2]为什么选择Scribe？[/h2]<LINE>持久数据不应该让每个模组都重新发明自己的存档系统。<LINE>Scribe为模组提供了一个共享基础，用于安全存储信息、保持数据有序，并与其他模组协作。<LINE>为雨世界模组开发者制作。
eav.bettersnap-name|[无障碍] 更好的抓边
eav.bettersnap-description|更好的抓边动作（即“OV”），拯救你的理智。<LINE>用法：拖拽蛞蝓猫靠近边界时，按空格键移动到下一个房间。
Zero490.ODSSInventory-name|[游戏机制] ODSS物品栏
Zero490.ODSSInventory-description|需要一些空间来存放你的拾取物和猎物吗？<LINE>那么，我向你介绍由本地蛞蝓猫社区制作的ODSS物品栏模组。<LINE><LINE>感谢蛞蝓猫工程师 Leemoriya 创建了原始模组<LINE>以及蛞蝓猫志愿者 SageisNice 发现了BUG并提供了想法
RSMacrocosmCreatures-name|[生物] Macrocosm生物包
RSMacrocosmCreatures-description|一个生物变种包，作为其他模组的依赖项使用。<LINE><LINE>请阅读模组文件夹中的README文本文档，了解：生物信息、它们的世界文件名以及它们应生成的位置。
RSMacrocosmSpawnSwaps-name|[游戏机制] Macrocosm生成替换
RSMacrocosmSpawnSwaps-description|为Macrocosm的生物添加简单的生成替换器支持，作为对模组区域的部分支持方式，并为这些生物提供实际的生成点。
a_template_to_help_you_do_world_file_formatting-name|[工具] 世界文件格式化帮助模板
a_template_to_help_you_do_world_file_formatting-description|你好，我之前没见过有模组做过类似的事情，所以我做了这个。现在开始，当你下载模组后，你需要去 D:teamLibraryteamappsorkshopontent12520 这是你找到创意工坊模组的方式。现在在里面找到此模组的ID，完成后将文件夹复制到 D:teamLibraryteamappsommonain WorldainWorld_DatatreamingAssetsods 之后，给你想要的文件夹命名，并按照我添加到文件夹中的说明操作。
3518645564-name|3518645564？？？
3518645564-description|无描述？？？/n?<LINE>@
temp-name|[区域] 区域模组 模板
temp-description|模板
Blaze.Lurker-name|[Slugcat] 潜伏者（模板）
Blaze.Lurker-description|一个安静的捕食者，对蜥蜴有着强烈的饥饿感。伏击猎物将是你生存的关键。<LINE><LINE>这几乎100%是我唯一会做的模组，此后很可能不会更新。<LINE>我将其作为模板蛞蝓猫制作，你可以通过进入 steam/steamapps/workshop/content/312520 文件来访问。<LINE>从那里将此模组复制粘贴到 steam/steamapps/common/Rain World/rainworld_data/StreamingAssets/Mods。<LINE>然后只需将蛞蝓猫编辑成你喜欢的样式并上传到创意工坊！<LINE><LINE>哦，你需要 SlugBase 才能让这个模组工作。
