Translator|Traducteur

模组列表中文补全计划|Complétion chinoise de la liste des mods
在此处输入模组ID|Entrez l'ID du mod ici
输入替换文本|Saisir le texte de remplacement
为当前输入的ID打开临时编辑文件|Ouvrir un fichier temporaire pour l'ID actuel
确认替换|Confirmer le remplacement
读取临时文件内容并应用到该模组（需先保存文件）|Lire le fichier temporaire et l'appliquer à ce mod (enregistrez d'abord le fichier)
批量翻译|Traduction groupée
导出所有模组的原始信息和当前翻译到一个文本文件|Exporter les infos originales et les traductions actuelles de tous les mods dans un fichier texte
应用全部|Tout appliquer
从导出的文件中读取所有修改并批量应用（仅更新有变化的条目）|Lire toutes les modifications du fichier exporté et les appliquer en lot (seules les entrées modifiées sont mises à jour)
编辑导出的文件后点击“应用全部”|Modifiez le fichier exporté puis cliquez sur « Tout appliquer »
启用文件格式提示|Activer les astuces de format de fichier
未找到为此ID的已安装模组！|Aucun mod installé trouvé pour cet ID !
如果你确定要为此id添加，请再次点击。|Si vous êtes sûr de vouloir l'ajouter, cliquez à nouveau.
尝试打开文件中|Ouverture du fichier...
文件内容无效！是否忘记保存temp文件？|Contenu du fichier invalide ! Avez-vous oublié d'enregistrer le fichier temporaire ?
临时文件属于模组 {0}，不能应用到 {1}。|Le fichier temporaire appartient au mod {0}, impossible de l'appliquer à {1}.
添加成功！|Ajouté avec succès !
已导出全部模组，请编辑后点击“应用全部翻译”。|Tous les mods ont été exportés. Modifiez le fichier puis cliquez sur « Appliquer toutes les traductions ».
导出失败，请查看日志。|Échec de l'exportation. Consultez le journal.
未找到导出文件，请先点击“导出全部翻译”。|Fichier d'exportation introuvable. Cliquez d'abord sur « Traduction groupée ».
所有翻译均已是最新，跳过 {0} 个模组。|Toutes les traductions sont à jour ; {0} mod(s) ignoré(s).
没有找到任何有效的翻译条目。|Aucune entrée de traduction valide trouvée.
应用完成：更新 {0} 个模组，失败 {1} 个，跳过 {2} 个（无变更）。|Application terminée : {0} mis à jour, {1} échoué(s), {2} ignoré(s) (aucun changement).
导入失败，请查看日志。|Échec de l'importation. Consultez le journal.
编辑该模组的名称和描述（留空删除翻译）|Modifier le nom et la description de ce mod (laisser vide pour supprimer la traduction)
此文件中写入你想替换的文本，第一行为名称，其他行将作为简介；某一行留空表示删除该行的翻译并回退为原文，完成后请保存关闭此文件，点击确认替换。|Écrivez le texte à remplacer dans ce fichier. La première ligne est le nom ; les autres lignes servent de description. Une ligne vide supprime la traduction et revient à l'original. Enregistrez et fermez ce fichier, puis cliquez sur « Confirmer le remplacement ».
以 '#' 开头的行是注释，会被忽略|Les lignes commençant par « # » sont des commentaires et seront ignorées
你可以通过关闭此模组设置中的文件使用提示选项来使下次此文件中不会出现这三行话。|Vous pouvez désactiver l'option d'astuces de format dans les paramètres de ce mod pour que ces trois lignes n'apparaissent plus la prochaine fois.
警告：已有为此模组设置的名称存在！确认替换将会覆盖上次修改。|Attention : un nom existe déjà pour ce mod ! Confirmer écrasera la dernière modification.
警告：已有为此模组设置的简介存在！确认替换将会覆盖上次修改。|Attention : une description existe déjà pour ce mod ! Confirmer écrasera la dernière modification.


