Translator|Traductor

模组列表中文补全计划|Completado chino de la lista de mods
在此处输入模组ID|Introduce la ID del mod aquí
输入替换文本|Introducir texto de reemplazo
为当前输入的ID打开临时编辑文件|Abrir archivo temporal para la ID actual
确认替换|Confirmar reemplazo
读取临时文件内容并应用到该模组（需先保存文件）|Leer el archivo temporal y aplicarlo a este mod (guarda el archivo primero)
批量翻译|Traducción por lotes
导出所有模组的原始信息和当前翻译到一个文本文件|Exportar la información original y las traducciones actuales de todos los mods a un archivo de texto
应用全部|Aplicar todo
从导出的文件中读取所有修改并批量应用（仅更新有变化的条目）|Leer todos los cambios del archivo exportado y aplicarlos en lote (solo se actualizan las entradas cambiadas)
编辑导出的文件后点击“应用全部”|Edita el archivo exportado y luego haz clic en «Aplicar todo»
启用文件格式提示|Activar consejos de formato de archivo
未找到为此ID的已安装模组！|¡No se encontró ningún mod instalado con esta ID!
如果你确定要为此id添加，请再次点击。|Si estás seguro de que quieres añadirlo, haz clic de nuevo.
尝试打开文件中|Abriendo archivo...
文件内容无效！是否忘记保存temp文件？|¡Contenido de archivo no válido! ¿Olvidaste guardar el archivo temporal?
临时文件属于模组 {0}，不能应用到 {1}。|El archivo temporal pertenece al mod {0}; no se puede aplicar a {1}.
添加成功！|¡Añadido con éxito!
已导出全部模组，请编辑后点击“应用全部翻译”。|Se han exportado todos los mods. Edita el archivo y luego haz clic en «Aplicar todas las traducciones».
导出失败，请查看日志。|Error de exportación. Revisa el registro.
未找到导出文件，请先点击“导出全部翻译”。|No se encontró el archivo de exportación. Haz clic primero en «Traducción por lotes».
所有翻译均已是最新，跳过 {0} 个模组。|Todas las traducciones están al día; se omitieron {0} mod(s).
没有找到任何有效的翻译条目。|No se encontraron entradas de traducción válidas.
应用完成：更新 {0} 个模组，失败 {1} 个，跳过 {2} 个（无变更）。|Aplicación completada: {0} actualizados, {1} fallidos, {2} omitidos (sin cambios).
导入失败，请查看日志。|Error de importación. Revisa el registro.
编辑该模组的名称和描述（留空删除翻译）|Edita el nombre y la descripción de este mod (déjalo vacío para eliminar la traducción)
此文件中写入你想替换的文本，第一行为名称，其他行将作为简介；某一行留空表示删除该行的翻译并回退为原文，完成后请保存关闭此文件，点击确认替换。|Escribe en este archivo el texto que quieres reemplazar. La primera línea es el nombre; el resto de las líneas serán la descripción. Una línea vacía elimina esa traducción y vuelve al original. Guarda y cierra el archivo, luego haz clic en «Confirmar reemplazo».
以 '#' 开头的行是注释，会被忽略|Las líneas que empiezan por «#» son comentarios y se ignorarán
你可以通过关闭此模组设置中的文件使用提示选项来使下次此文件中不会出现这三行话。|Puedes desactivar la opción de consejos de formato en los ajustes de este mod para que estas tres líneas no aparezcan la próxima vez.
警告：已有为此模组设置的名称存在！确认替换将会覆盖上次修改。|Advertencia: ¡ya existe un nombre para este mod! Confirmar sobrescribirá la última modificación.
警告：已有为此模组设置的简介存在！确认替换将会覆盖上次修改。|Advertencia: ¡ya existe una descripción para este mod! Confirmar sobrescribirá la última modificación.

