Translator|번역기

模组列表中文补全计划|Mod List Chinese Completion Plan
在此处输入模组ID|Enter mod ID here
输入替换文本|Input replacement text
为当前输入的ID打开临时编辑文件|Open a temporary edit file for the current ID
确认替换|Confirm replacement
读取临时文件内容并应用到该模组（需先保存文件）|Read the temp file and apply it to this mod (save the file first)
批量翻译|Batch translate
导出所有模组的原始信息和当前翻译到一个文本文件|Export all mods' original info and current translations to a text file
应用全部|Apply all
从导出的文件中读取所有修改并批量应用（仅更新有变化的条目）|Read all changes from the exported file and apply them in batch (only changed entries are updated)
编辑导出的文件后点击“应用全部”|Edit the exported file, then click Apply all
启用文件格式提示|Enable file format tips
未找到为此ID的已安装模组！|No installed mod found for this ID!
如果你确定要为此id添加，请再次点击。|If you are sure you want to add it, click again.
尝试打开文件中|Opening file...
文件内容无效！是否忘记保存temp文件？|Invalid file content! Did you forget to save the temp file?
临时文件属于模组 {0}，不能应用到 {1}。|Temp file belongs to mod {0}; cannot apply to {1}.
添加成功！|Added successfully!
已导出全部模组，请编辑后点击“应用全部翻译”。|All mods exported. Edit the file, then click Apply all translations.
导出失败，请查看日志。|Export failed. Check the log.
未找到导出文件，请先点击“导出全部翻译”。|Export file not found. Click Batch translate first.
所有翻译均已是最新，跳过 {0} 个模组。|All translations are up to date; skipped {0} mod(s).
没有找到任何有效的翻译条目。|No valid translation entries found.
应用完成：更新 {0} 个模组，失败 {1} 个，跳过 {2} 个（无变更）。|Applied: {0} updated, {1} failed, {2} skipped (no change).
导入失败，请查看日志。|Import failed. Check the log.
编辑该模组的名称和描述（留空删除翻译）|Edit this mod's name and description (leave blank to delete the translation)
此文件中写入你想替换的文本，第一行为名称，其他行将作为简介；某一行留空表示删除该行的翻译并回退为原文，完成后请保存关闭此文件，点击确认替换。|Write the text you want to replace in this file. The first line is the name; the remaining lines are the description. Leave a line blank to delete that translation and fall back to the original. When done, save and close this file, then click Confirm replacement.
以 '#' 开头的行是注释，会被忽略|Lines starting with '#' are comments and will be ignored
你可以通过关闭此模组设置中的文件使用提示选项来使下次此文件中不会出现这三行话。|You can turn off the file-format tips option in this mod's settings to hide these three lines next time.
警告：已有为此模组设置的名称存在！确认替换将会覆盖上次修改。|Warning: a name already exists for this mod! Confirming will overwrite the previous modification.
警告：已有为此模组设置的简介存在！确认替换将会覆盖上次修改。|Warning: a description already exists for this mod! Confirming will overwrite the previous modification.

